corpus	composer	title	year	era	num	key	chroma	mode	mm	adjTempo	articRate	pitchHeight
chopin	chopin	op28	1839	romantic	1	C	0	Major	1	72	7.2	37.27272727
chopin	chopin	op28	1839	romantic	1	C	0	Major	2	72	7.2	37.72727273
chopin	chopin	op28	1839	romantic	1	C	0	Major	3	72	7.2	38.18181818
chopin	chopin	op28	1839	romantic	1	C	0	Major	4	72	7.2	41
chopin	chopin	op28	1839	romantic	1	C	0	Major	5	72	7.2	44.36363636
chopin	chopin	op28	1839	romantic	1	C	0	Major	6	72	7.2	44.90909091
chopin	chopin	op28	1839	romantic	1	C	0	Major	7	72	7.2	44.63636364
chopin	chopin	op28	1839	romantic	1	C	0	Major	8	72	7.2	38.45454545
chopin	chopin	op28	1839	romantic	2	A	9	minor	1	66	2.2	26.625
chopin	chopin	op28	1839	romantic	2	A	9	minor	2	66	2.2	26.625
chopin	chopin	op28	1839	romantic	2	A	9	minor	3	66	2.2	32.20833333
chopin	chopin	op28	1839	romantic	2	A	9	minor	4	66	2.2	31.41666667
chopin	chopin	op28	1839	romantic	2	A	9	minor	5	66	2.475	31.08333333
chopin	chopin	op28	1839	romantic	2	A	9	minor	6	66	2.2	32.125
chopin	chopin	op28	1839	romantic	2	A	9	minor	7	66	2.2	31.7
chopin	chopin	op28	1839	romantic	2	A	9	minor	8	66	2.2	36.85
chopin	chopin	op28	1839	romantic	3	G	7	Major	1	152	10.13333333	36.1875
chopin	chopin	op28	1839	romantic	3	G	7	Major	2	152	10.13333333	36.1875
chopin	chopin	op28	1839	romantic	3	G	7	Major	3	152	10.13333333	42.41666667
chopin	chopin	op28	1839	romantic	3	G	7	Major	4	152	10.13333333	46.64285714
chopin	chopin	op28	1839	romantic	3	G	7	Major	5	152	10.13333333	51.0625
chopin	chopin	op28	1839	romantic	3	G	7	Major	6	152	10.13333333	45.59375
chopin	chopin	op28	1839	romantic	3	G	7	Major	7	152	10.13333333	49.0125
chopin	chopin	op28	1839	romantic	3	G	7	Major	8	152	10.13333333	43.78125
chopin	chopin	op28	1839	romantic	4	E	4	minor	1	66	2.2	42.3125
chopin	chopin	op28	1839	romantic	4	E	4	minor	2	66	2.2	41.6875
chopin	chopin	op28	1839	romantic	4	E	4	minor	3	66	2.2	41.0625
chopin	chopin	op28	1839	romantic	4	E	4	minor	4	66	2.2	40
chopin	chopin	op28	1839	romantic	4	E	4	minor	5	66	2.2	39
chopin	chopin	op28	1839	romantic	4	E	4	minor	6	66	2.2	38.75
chopin	chopin	op28	1839	romantic	4	E	4	minor	7	66	2.2	38.34375
chopin	chopin	op28	1839	romantic	4	E	4	minor	8	66	2.2	37.8125
chopin	chopin	op28	1839	romantic	5	D	2	Major	1	150	10	46
chopin	chopin	op28	1839	romantic	5	D	2	Major	2	150	10	43.83333333
chopin	chopin	op28	1839	romantic	5	D	2	Major	3	150	10	45.27777778
chopin	chopin	op28	1839	romantic	5	D	2	Major	4	150	10	44.05555556
chopin	chopin	op28	1839	romantic	5	D	2	Major	5	150	10	34.38461538
chopin	chopin	op28	1839	romantic	5	D	2	Major	6	150	10	43.46153846
chopin	chopin	op28	1839	romantic	5	D	2	Major	7	150	10	43.23076923
chopin	chopin	op28	1839	romantic	5	D	2	Major	8	150	10	42.15384615
chopin	chopin	op28	1839	romantic	6	B	11	minor	1	56	2.488888889	44.875
chopin	chopin	op28	1839	romantic	6	B	11	minor	2	56	1.866666667	43.5
chopin	chopin	op28	1839	romantic	6	B	11	minor	3	56	2.488888889	47.4
chopin	chopin	op28	1839	romantic	6	B	11	minor	4	56	1.866666667	47.29166667
chopin	chopin	op28	1839	romantic	6	B	11	minor	5	56	2.488888889	48.85
chopin	chopin	op28	1839	romantic	6	B	11	minor	6	56	1.866666667	49.16666667
